HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
SF,ATL,22,29,15,0,1,23.07692308,30.53846154,23.61538462,21.46153846,30.29692308,32.17615385,40.52307692,45.73076923,1
PIT,BUF,10,17,15,0,1,21.07692308,19.92307692,20.46153846,17.23076923,30.52461538,29.22153846,37.21538462,34.39230769,0
NO,IND,34,7,15,1,0,22.76923077,26.46153846,21.69230769,20.92307692,31.06,31.77538462,43.86153846,41.97692308,1
TB,HOU,20,23,16,0,1,24.35714286,29.71428571,22.21428571,22.85714286,29.79857143,31.29714286,45.86428571,41.31428571,0
NE,BUF,24,17,16,1,0,20.78571429,26.57142857,20.21428571,21.21428571,30.64428571,31.38285714,37.62142857,37.88571429,1
SF,LAR,34,31,16,1,0,23.71428571,29.92857143,20.92857143,21.35714286,28.22857143,32.055,35.82142857,44.84285714,1
ATL,JAX,24,12,16,1,0,17.85714286,23.5,18.42857143,23.35714286,30.35714286,30.21285714,33.23571429,41.47142857,1
CLE,BAL,15,31,16,0,1,33.71428571,21.21428571,24.0,19.5,34.31285714,30.17714286,46.08571429,36.85,0
IND,CAR,38,6,16,1,0,23.14285714,21.64285714,21.42857143,21.28571429,28.83928571,30.51142857,32.91428571,42.51428571,1
MIA,CIN,38,35,16,1,0,15.07142857,17.21428571,18.92857143,18.57142857,28.79642857,27.88357143,34.72142857,34.32857143,1
