HomeTeam,AwayTeam,Week,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
ARI,LV,11,16.333333333333332,13.777777777777779,19.0,14.555555555555555,30.876666666666665,25.71333333333333,37.611111111111114,27.488888888888887
LAC,DEN,11,22.777777777777782,26.66666666666667,21.0,20.222222222222218,29.28777777777778,29.77666666666667,34.49999999999999,32.72222222222222
NO,PHI,11,22.0,36.66666666666666,22.555555555555557,26.11111111111111,32.802222222222234,32.89888888888889,40.13333333333333,46.37777777777778
CHI,MIN,11,24.555555555555557,29.88888888888889,20.777777777777782,21.33333333333333,30.32111111111111,31.38111111111111,38.86666666666667,42.87777777777778
LAR,KC,11,35.3,33.5,24.0,25.0,29.272,31.114000000000004,46.5,43.31
DET,CHI,12,29.4,22.2,21.6,21.3,31.672000000000004,31.062999999999995,43.59,38.16
DAL,WAS,12,19.7,20.3,19.9,19.1,31.355,30.383000000000003,38.16,36.78
NO,ATL,12,26.3,37.8,22.7,26.3,30.151000000000003,33.343,51.17,47.19
BAL,LV,12,17.0,23.7,19.0,23.2,31.399,31.353,37.18,45.44
BUF,JAX,12,17.6,13.7,18.8,16.0,30.249,30.624,43.46,30.35
CAR,SEA,12,24.6,26.0,20.3,21.4,30.985,30.07,36.54,40.65
CIN,CLE,12,21.8,25.6,19.6,19.8,30.444000000000003,26.316999999999997,33.54,37.28
NYJ,NE,12,28.0,20.8,22.3,15.4,29.672000000000004,28.921000000000006,39.29,28.27
PHI,NYG,12,21.5,20.5,18.5,21.6,28.498,31.748,35.23999999999999,39.12
TB,SF,12,23.0,26.7,21.6,26.4,30.599,31.209,37.69,49.25
LAC,ARI,12,14.5,26.2,14.4,20.8,25.500999999999998,30.548,27.47,35.45
DEN,PIT,12,29.9,22.8,23.8,20.5,30.733,28.570000000000004,45.88,34.05
IND,MIA,12,19.9,29.8,16.3,22.6,28.794,28.791000000000004,32.910000000000004,51.23
MIN,GB,12,24.7,24.1,21.0,20.6,30.588000000000005,29.82,36.66,39.15
HOU,TEN,12,17.8,23.9,17.9,20.1,30.621,30.536999999999995,42.38999999999999,37.89999999999999
DAL,NO,13,37.18181818181818,21.272727272727273,25.63636363636364,19.181818181818183,32.95727272727272,30.64181818181818,47.03636363636363,37.33636363636364
ATL,BAL,13,24.63636363636364,25.45454545454545,23.181818181818183,22.54545454545455,31.604545454545452,30.19090909090909,46.9,49.54545454545455
CIN,DEN,13,22.90909090909091,25.09090909090909,20.181818181818183,20.272727272727273,28.24545454545455,26.430000000000003,33.43636363636363,36.91818181818181
DET,LAR,13,35.36363636363637,21.63636363636364,25.363636363636363,20.90909090909091,31.03363636363637,31.189999999999994,42.61818181818182,37.93636363636364
GB,ARI,13,14.090909090909092,24.0,14.0,20.363636363636363,25.40272727272727,30.1009090909091,28.0,35.14545454545455
HOU,CLE,13,23.0,24.818181818181817,20.0,20.0,30.62181818181818,30.449999999999992,35.03636363636363,37.76363636363636
JAX,IND,13,29.54545454545455,17.90909090909091,22.90909090909091,19.363636363636363,29.040909090909096,30.44636363636364,49.6,43.0090909090909
MIA,BUF,13,14.636363636363635,20.272727272727273,16.181818181818183,16.09090909090909,30.31090909090909,28.77636363636364,29.40909090909091,33.22727272727273
NYG,CHI,13,28.818181818181817,21.545454545454547,21.363636363636363,18.454545454545453,31.26,28.381818181818186,42.35454545454546,35.82727272727272
TB,CAR,13,26.09090909090909,26.72727272727273,21.818181818181817,26.272727272727273,30.00363636363636,31.54454545454545,40.36363636363637,49.66363636363636
LV,KC,13,36.72727272727273,17.0,24.272727272727273,18.454545454545453,29.28090909090909,30.86090909090909,46.81818181818182,35.90000000000001
TEN,NYJ,13,20.09090909090909,17.727272727272727,15.636363636363635,17.545454545454547,28.59545454545455,30.58272727272727,29.6,41.56363636363636
NE,MIN,13,24.09090909090909,27.90909090909091,20.727272727272727,22.54545454545455,30.233636363636364,30.08909090909091,40.13636363636363,39.50909090909091
SEA,SF,13,21.727272727272727,25.09090909090909,21.727272727272727,20.363636363636363,30.13636363636364,30.919090909090905,35.4,37.11818181818182
PIT,LAC,13,27.90909090909091,28.72727272727273,21.63636363636364,23.90909090909091,30.96909090909091,31.12090909090909,36.127272727272725,44.95454545454545
PHI,WAS,13,20.0,20.90909090909091,19.727272727272727,21.363636363636363,30.901818181818186,31.80545454545455,38.0,38.04545454545455
TEN,JAX,14,16.916666666666668,18.416666666666668,18.666666666666668,17.916666666666668,30.35333333333333,30.2325,42.75833333333333,38.85833333333333
BUF,NYJ,14,20.25,14.833333333333336,15.583333333333336,16.833333333333332,28.98083333333333,30.49916666666667,28.91666666666666,30.16666666666667
CLE,CAR,14,25.33333333333333,22.16666666666667,22.25,20.0,30.05333333333333,29.924166666666665,40.125,34.2
GB,ATL,14,24.66666666666667,23.41666666666667,22.0,20.5,29.35916666666667,30.280833333333334,47.26666666666667,34.0
HOU,IND,14,27.08333333333333,25.16666666666667,22.58333333333333,20.416666666666668,29.14333333333333,31.024999999999995,47.78333333333333,38.78333333333333
KC,BAL,14,24.75,37.0,23.33333333333333,24.33333333333333,32.25333333333333,29.269166666666663,46.88333333333333,46.76666666666667
MIA,NE,14,27.58333333333333,20.33333333333333,22.91666666666667,16.0,30.349166666666665,28.653333333333336,40.38333333333333,32.30833333333333
TB,NO,14,34.916666666666664,26.5,24.66666666666667,25.58333333333333,32.18583333333333,31.3775,45.39166666666666,49.375
WAS,NYG,14,22.25,19.416666666666668,18.416666666666668,18.916666666666668,28.777500000000003,30.027500000000003,35.78333333333333,36.5
LAC,CIN,14,23.83333333333333,28.33333333333333,20.25,21.66666666666667,26.8275,30.98166666666667,37.05,37.65833333333333
SF,DEN,14,23.0,21.25,19.83333333333333,21.91666666666667,28.258333333333336,30.316666666666666,33.85833333333333,36.1
ARI,DET,14,21.166666666666668,14.583333333333336,21.08333333333333,14.333333333333336,31.21083333333333,25.564166666666665,36.16666666666666,28.875
DAL,PHI,14,21.5,20.58333333333333,21.91666666666667,19.33333333333333,32.42083333333333,31.132500000000004,39.35833333333333,38.391666666666666
LV,PIT,14,28.83333333333333,18.33333333333333,23.83333333333333,19.25,30.90083333333333,30.8275,43.70833333333334,39.158333333333346
CHI,LAR,14,34.916666666666664,28.66666666666667,25.25,21.5,30.794166666666676,31.45333333333333,42.85833333333333,39.933333333333344
SEA,MIN,14,22.91666666666667,26.58333333333333,20.33333333333333,20.416666666666668,29.91333333333333,30.6175,38.875,37.725
KC,LAC,15,28.153846153846153,36.230769230769226,21.30769230769231,24.76923076923077,30.69230769230769,29.86384615384615,37.72307692307693,46.05384615384616
NYJ,HOU,15,24.84615384615385,20.76923076923077,20.76923076923077,15.538461538461537,31.06692307692307,28.761538461538464,38.361538461538466,30.24615384615384
DEN,CLE,15,22.461538461538463,22.30769230769231,19.384615384615387,20.0,29.63,28.33,34.98461538461538,32.276923076923076
ATL,ARI,15,13.692307692307693,24.30769230769231,14.923076923076925,22.0,26.016153846153845,29.44615384615385,29.538461538461537,45.55384615384616
BAL,TB,15,25.538461538461537,24.69230769230769,25.153846153846153,23.384615384615387,31.171538461538454,32.177692307692304,48.87692307692308,46.484615384615395
BUF,DET,15,20.846153846153847,15.461538461538463,20.69230769230769,17.384615384615387,30.976153846153842,30.72769230769231,35.94615384615385,31.69230769230769
CHI,GB,15,24.23076923076923,27.615384615384613,20.69230769230769,21.153846153846157,30.190769230769238,31.840769230769233,35.52307692307692,40.230769230769226
CIN,LV,15,18.76923076923077,23.615384615384613,19.30769230769231,20.153846153846157,30.945384615384622,27.254615384615388,38.70769230769231,37.161538461538456
IND,DAL,15,21.23076923076923,26.84615384615385,20.30769230769231,22.69230769230769,32.224615384615376,29.078461538461546,39.48461538461538,46.66923076923076
JAX,WAS,15,19.153846153846157,16.307692307692307,18.384615384615387,18.53846153846154,29.98769230769231,30.356923076923074,35.09230769230769,40.75384615384615
MIN,MIA,15,21.384615384615387,21.69230769230769,16.307692307692307,20.0,28.330769230769228,29.774615384615387,30.923076923076927,37.42307692307692
NYG,TEN,15,19.30769230769231,23.615384615384613,18.153846153846157,18.46153846153846,30.15307692307692,28.940769230769227,40.761538461538464,35.4
SF,SEA,15,26.153846153846153,21.153846153846157,20.30769230769231,22.07692307692308,30.684615384615388,30.323846153846155,36.92307692307692,35.692307692307686
PIT,NE,15,28.0,28.23076923076923,23.30769230769231,23.84615384615385,30.717692307692307,30.61923076923077,41.6,44.53846153846154
LAR,PHI,15,21.615384615384613,32.69230769230769,21.46153846153846,24.384615384615387,31.643846153846155,30.20307692307693,37.18461538461538,41.48461538461538
CAR,NO,15,34.384615384615394,24.923076923076927,24.23076923076923,22.23076923076923,32.13538461538461,30.318461538461538,45.74615384615384,39.784615384615385
TEN,WAS,16,18.928571428571427,19.142857142857142,18.214285714285715,18.428571428571427,30.24571428571429,30.514285714285712,35.92142857142857,40.4
LAC,BAL,16,24.357142857142854,28.214285714285715,23.42857142857143,21.928571428571423,32.52928571428571,30.868571428571425,47.17857142857143,39.31428571428571
CAR,ATL,16,25.42857142857143,23.785714285714285,22.071428571428577,21.571428571428577,29.514285714285712,29.90357142857143,45.05,40.27857142857143
CLE,CIN,16,24.07142857142857,22.071428571428577,20.0,19.5,27.67857142857143,29.455,37.51428571428571,35.464285714285715
DAL,TB,16,24.57142857142857,19.714285714285715,24.214285714285715,20.214285714285715,30.552142857142854,31.931428571428572,47.52857142857143,39.042857142857144
DET,MIN,16,23.07142857142857,20.285714285714285,20.142857142857142,20.214285714285715,30.01642857142857,30.802142857142854,37.5,36.128571428571426
IND,NYG,16,21.928571428571423,26.57142857142857,18.214285714285715,22.857142857142854,28.615714285714287,29.250000000000004,34.214285714285715,48.09999999999999
MIA,JAX,16,16.071428571428573,21.071428571428573,18.0,16.0,30.084285714285716,28.19571428571428,40.59285714285714,29.907142857142855
NE,BUF,16,15.357142857142858,26.714285714285715,17.571428571428573,22.92857142857143,30.790000000000006,30.602857142857147,31.214285714285715,40.77142857142857
NYJ,GB,16,23.714285714285715,20.857142857142858,20.571428571428573,15.928571428571427,30.132142857142863,29.235714285714284,35.535714285714285,31.864285714285714
PHI,HOU,16,25.142857142857146,22.214285714285715,20.357142857142858,21.142857142857142,30.602142857142855,31.62357142857143,36.41428571428571,36.72857142857144
ARI,LAR,16,32.0,13.714285714285715,24.285714285714285,15.142857142857142,30.062857142857148,26.243571428571425,40.89999999999999,29.07857142857143
SF,CHI,16,27.357142857142854,21.5,21.0,21.928571428571423,31.72571428571429,30.257857142857148,39.5,35.285714285714285
NO,PIT,16,27.42857142857143,32.785714285714285,23.857142857142854,24.0,30.610000000000007,32.40428571428571,44.52857142857143,44.67857142857142
SEA,KC,16,35.642857142857146,25.92857142857143,24.57142857142857,20.142857142857142,29.619285714285716,31.145714285714284,47.05,37.67142857142857
LV,DEN,16,21.857142857142854,18.571428571428573,20.142857142857142,18.857142857142858,28.622142857142855,30.62142857142857,32.521428571428565,37.47142857142858
BUF,MIA,17,20.133333333333333,15.133333333333333,15.666666666666664,17.333333333333332,27.992666666666665,30.35200000000001,29.39333333333333,30.246666666666666
