HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
NO,LAC,30.0,27.0,5,1.0,0.0,20.75,30.75,22.0,23.5,31.495,29.8275,47.6,53.45,0.0
TEN,BUF,42.0,16.0,5,1.0,0.0,30.75,20.0,24.5,18.0,31.345,22.525,50.95,32.625,1.0
CAR,CHI,16.0,23.0,6,0.0,1.0,21.0,24.4,20.4,22.8,30.778,32.518,31.94,49.38,1.0
IND,CIN,31.0,27.0,6,1.0,0.0,20.4,25.2,22.6,21.0,32.51,31.942,33.12,33.82,1.0
JAX,DET,16.0,34.0,6,0.0,1.0,19.8,21.8,16.8,23.2,22.266,28.61,34.16,44.28,0.0
MIN,ATL,23.0,40.0,6,0.0,1.0,24.4,26.4,23.4,22.8,28.918,28.732,39.82,39.36,0.0
NE,DEN,12.0,18.0,6,0.0,1.0,16.4,19.4,15.2,20.8,23.096,25.726,30.46,35.12,0.0
NYG,WAS,20.0,19.0,6,1.0,0.0,17.8,16.2,18.0,18.8,27.244,27.806,30.56,40.2,1.0
PHI,BAL,28.0,30.0,6,0.0,1.0,29.8,22.6,19.4,21.8,28.984,30.152,43.14,48.76,0.0
PIT,CLE,38.0,7.0,6,1.0,0.0,31.2,29.5,23.4,22.0,31.51,32.9175,45.5,46.925,1.0
TEN,HOU,42.0,36.0,6,1.0,0.0,22.0,30.5,19.2,24.25,25.264,29.365,38.0,47.625,1.0
MIA,NYJ,24.0,0.0,6,1.0,0.0,15.0,27.2,17.2,23.6,26.216,32.252,34.0,43.8,1.0
TB,GB,38.0,10.0,6,1.0,0.0,30.4,27.8,20.6,21.2,27.28,30.544,40.9,41.62,1.0
SF,LAR,24.0,16.0,6,1.0,0.0,27.2,24.8,23.2,21.6,32.08,30.784,49.94,40.84,1.0
BUF,KC,17.0,26.0,6,0.0,1.0,29.8,27.8,24.0,24.2,29.818,31.524,51.34,56.06,0.0
DAL,ARI,10.0,38.0,6,0.0,1.0,25.6,32.6,25.6,29.4,29.296,26.252,41.24,47.12,0.0
